model	subword_pooling	layer_pooling	dev_acc	dev_f1	test_acc	test_f1
XLM-RoBERTa	first	8	0.9971887903013266	0.9593639575971732	0.9939867980830092	0.9231388329979878
XLM-RoBERTa	first	8	0.9968373890889924	0.9489436619718308	0.9942128583054526	0.9199839163650984
XLM-RoBERTa	first	9	0.9971887903013266	0.9662522202486676	0.9944389185278958	0.9259855189058728
XLM-RoBERTa	first	9	0.99727664060441	0.9655172413793104	0.9939867980830092	0.9205457463884432
XLM-RoBERTa	first	9	0.996925239392076	0.9566755083996464	0.9938059499050548	0.9200482121333868
XLM-RoBERTa	last	0	0.970218747254678	0.6712802768166091	0.9472375440817432	0.4810636583400484
XLM-RoBERTa	last	0	0.9710972502855136	0.6712683347713546	0.9479157247490732	0.4794851166532583
XLM-RoBERTa	last	0	0.9701308969515944	0.6712922810060711	0.94768966452663	0.4853181076672105
XLM-RoBERTa	last	1	0.978740226653782	0.7130434782608696	0.9599421285830544	0.5221789883268484
XLM-RoBERTa	last	1	0.9795308793815338	0.7202797202797203	0.9593995840491908	0.5162046075751661
XLM-RoBERTa	last	1	0.9792673284722831	0.7201394943330427	0.9595352201826568	0.5245268443414446
XLM-RoBERTa	last	10	0.9967495387859088	0.9506172839506172	0.9924043765259064	0.904494382022472
XLM-RoBERTa	last	10	0.9963102872704912	0.943661971830986	0.9924043765259064	0.907051282051282
XLM-RoBERTa	last	10	0.9965738381797418	0.9513704686118478	0.9929921331042588	0.9125352680370816
XLM-RoBERTa	last	11	0.9964859878766582	0.9479258605472196	0.9924043765259064	0.9063128266988342
XLM-RoBERTa	last	11	0.996925239392076	0.9540636042402828	0.9930373451487476	0.9163987138263664
XLM-RoBERTa	last	11	0.9966616884828252	0.9549071618037136	0.9931729812822137	0.9101844426623896
XLM-RoBERTa	last	12	0.996134586664324	0.9408649602824362	0.9927660728818156	0.9084337349397592
XLM-RoBERTa	last	12	0.9956953351489064	0.935569285083848	0.992223528347952	0.8986784140969164
XLM-RoBERTa	last	12	0.9957831854519898	0.9373345101500442	0.9923139524369292	0.9009225832330524
XLM-RoBERTa	last	2	0.9918299218132304	0.8822495606326891	0.9817795460710732	0.7574334898278561
XLM-RoBERTa	last	2	0.9909514187823948	0.8649602824360105	0.9804231847364138	0.7380482022915844
XLM-RoBERTa	last	2	0.9913906702978126	0.8611111111111112	0.98155348584863	0.7536575721629102
XLM-RoBERTa	last	3	0.9944654309057366	0.914687774846086	0.9884709286553938	0.8411509657075285
XLM-RoBERTa	last	3	0.9938504787841518	0.9078138718173836	0.9885161406998824	0.8263943440691282
XLM-RoBERTa	last	3	0.9948168321180708	0.9260563380281688	0.9887874129668144	0.8305283757338553
XLM-RoBERTa	last	4	0.9958710357550734	0.9427312775330396	0.9915001356361336	0.8861366360367559
XLM-RoBERTa	last	4	0.9956074848458228	0.9325153374233128	0.9912740754136902	0.8764402065951529
XLM-RoBERTa	last	4	0.9959588860581567	0.9357959542656114	0.9919070440365312	0.8880923934687375
XLM-RoBERTa	last	5	0.9967495387859088	0.9558303886925796	0.9925852247038612	0.8984812150279776
XLM-RoBERTa	last	5	0.9963981375735746	0.952127659574468	0.9919974681255086	0.8876494023904382
XLM-RoBERTa	last	5	0.9967495387859088	0.9540636042402828	0.9923591644814178	0.8975180144115293
XLM-RoBERTa	last	6	0.9971009399982428	0.9655172413793104	0.9932181933267022	0.9189189189189192
XLM-RoBERTa	last	6	0.9967495387859088	0.9620476610767874	0.9932634053711908	0.9121676067687348
XLM-RoBERTa	last	6	0.9966616884828252	0.9593639575971732	0.9937155258160774	0.914216673378977
XLM-RoBERTa	last	7	0.996925239392076	0.9567519858781994	0.9935798896826116	0.9113517849979944
XLM-RoBERTa	last	7	0.9966616884828252	0.9532215357458076	0.9930373451487476	0.9109149277688604
XLM-RoBERTa	last	7	0.9967495387859088	0.9567519858781994	0.993353829460168	0.9198550140958518
XLM-RoBERTa	last	8	0.9967495387859088	0.9514563106796116	0.9938511619495434	0.9180064308681672
XLM-RoBERTa	last	8	0.996925239392076	0.9480176211453746	0.9934894655936342	0.9142857142857144
XLM-RoBERTa	last	8	0.9968373890889924	0.95837023914969	0.9933086174156796	0.9174385823600484
XLM-RoBERTa	last	9	0.9971887903013266	0.9558303886925796	0.9929469210597704	0.9079211901889828
XLM-RoBERTa	last	9	0.996925239392076	0.95837023914969	0.9930825571932362	0.9120835006021676
XLM-RoBERTa	last	9	0.9963981375735746	0.9497797356828194	0.9926756487928384	0.9047237790232184
XLM-MLM-100	first	0	0.9832205921110428	0.7495908346972175	0.9665430870783976	0.5742160278745645
XLM-MLM-100	first	0	0.9833084424141264	0.7426229508196721	0.9661813907224884	0.5838902567710166
XLM-MLM-100	first	0	0.9834841430202934	0.7466887417218542	0.9650963016547608	0.5825105782792666
XLM-MLM-100	first	1	0.9862075024158832	0.7735537190082644	0.9724658649064112	0.6333452338450554
XLM-MLM-100	first	1	0.9855046999912148	0.7774086378737541	0.9706121710823764	0.624688722874422
XLM-MLM-100	first	1	0.9862075024158832	0.7810945273631841	0.9719685324170358	0.620199146514936
XLM-MLM-100	first	10	0.9964859878766582	0.9628975265017669	0.9942580703499412	0.9271043093032622
XLM-MLM-100	first	10	0.9965738381797418	0.9646017699115044	0.9943484944389184	0.9240658899156288
XLM-MLM-100	first	10	0.9963981375735746	0.9619805481874448	0.9943484944389184	0.9228295819935692
XLM-MLM-100	first	11	0.9968373890889924	0.9646643109540636	0.9943937064834072	0.926476496584974
XLM-MLM-100	first	11	0.9966616884828252	0.9646017699115044	0.9938511619495434	0.9181380417335474
XLM-MLM-100	first	11	0.9963102872704912	0.9619805481874448	0.9939867980830092	0.9236334405144696
XLM-MLM-100	first	12	0.9963981375735746	0.9628318584070796	0.9944841305723844	0.9341414141414142
XLM-MLM-100	first	12	0.9968373890889924	0.9646017699115044	0.9936703137715888	0.921285140562249
XLM-MLM-100	first	12	0.9964859878766582	0.9592920353982302	0.99430328239443	0.9334409035901572
XLM-MLM-100	first	13	0.9964859878766582	0.9671694764862468	0.9930373451487476	0.9156626506024096
XLM-MLM-100	first	13	0.9963981375735746	0.9575221238938052	0.99430328239443	0.928657799274486
XLM-MLM-100	first	13	0.9964859878766582	0.9540636042402828	0.993896373994032	0.9251810136765888
XLM-MLM-100	first	14	0.9962224369674076	0.9628318584070796	0.9924948006148838	0.9043617446978792
XLM-MLM-100	first	14	0.996134586664324	0.9549867608120036	0.9919974681255086	0.8979266347687399
XLM-MLM-100	first	14	0.9963102872704912	0.9574468085106383	0.9932181933267022	0.9175340272217772
XLM-MLM-100	first	15	0.9960467363612404	0.9494232475598936	0.9931729812822137	0.9169008430349256
XLM-MLM-100	first	15	0.996134586664324	0.9434628975265018	0.9934442535491456	0.90843662534986
XLM-MLM-100	first	15	0.9960467363612404	0.95829636202307	0.9927208608373272	0.9077786688051324
XLM-MLM-100	first	16	0.9959588860581567	0.9513704686118478	0.9924495885703952	0.9090909090909092
XLM-MLM-100	first	16	0.9959588860581567	0.9454225352112676	0.9923139524369292	0.9090909090909092
XLM-MLM-100	first	16	0.9957831854519898	0.949512843224092	0.9917714079030654	0.8904761904761905
