model	subword_pooling	layer_pooling	dev_acc	test_acc
XLM-RoBERTa	last	1	0.8920126116657908	0.8728943338437979
XLM-RoBERTa	last	1	0.8911368015414258	0.8744257274119449
XLM-RoBERTa	last	1	0.8924505167279734	0.871937212863706
XLM-RoBERTa	last	2	0.9353652128218602	0.917687595712098
XLM-RoBERTa	last	2	0.9348397267472413	0.9182618683001532
XLM-RoBERTa	last	2	0.9345769837099316	0.9180704441041349
XLM-RoBERTa	last	3	0.9605009633911368	0.9467840735068912
XLM-RoBERTa	last	3	0.9601506393413908	0.948602603369066
XLM-RoBERTa	last	3	0.9590996671921528	0.946688361408882
XLM-RoBERTa	last	4	0.9691714836223508	0.961810872894334
XLM-RoBERTa	last	4	0.9692590646347872	0.961810872894334
XLM-RoBERTa	last	4	0.9691714836223508	0.9610451761102604
XLM-RoBERTa	last	5	0.9696093886845332	0.9650650842266464
XLM-RoBERTa	last	5	0.9706603608337712	0.9630551301684532
XLM-RoBERTa	last	5	0.9700472937467156	0.9646822358346095
XLM-RoBERTa	last	6	0.9687335785601682	0.9635336906584993
XLM-RoBERTa	last	6	0.9706603608337712	0.9637251148545176
XLM-RoBERTa	last	6	0.9695218076720968	0.9630551301684532
XLM-RoBERTa	last	7	0.9678577684358032	0.9635336906584993
XLM-RoBERTa	last	7	0.9684708355228586	0.962480857580398
XLM-RoBERTa	last	7	0.9679453494482396	0.962959418070444
XLM-RoBERTa	last	8	0.9657558241373272	0.9628637059724348
XLM-RoBERTa	last	8	0.9663688912243824	0.9627679938744256
XLM-RoBERTa	last	8	0.9663688912243824	0.9636294027565084
XLM-RoBERTa	last	9	0.965405500087581	0.9638208269525268
XLM-RoBERTa	last	9	0.9653179190751444	0.9628637059724348
XLM-RoBERTa	last	9	0.9672447013487476	0.9621937212863706
XLM-RoBERTa	last	10	0.9661061481870732	0.9641079632465543
XLM-RoBERTa	last	10	0.9663688912243824	0.9637251148545176
XLM-RoBERTa	last	10	0.9668067962865652	0.9637251148545176
XLM-RoBERTa	last	11	0.965405500087581	0.9631508422664624
